
	One-way analysis of means (not assuming equal variances)

data:  SL and Sp
F = 138.91, num df = 2.000, denom df = 92.211, p-value <
2.2e-16


	One-way analysis of means (not assuming equal variances)

data:  SW and Sp
F = 43.303, num df = 2.00, denom df = 97.37, p-value = 3.52e-14


	One-way analysis of means (not assuming equal variances)

data:  PL and Sp
F = 1826.6, num df = 2.000, denom df = 78.055, p-value <
2.2e-16


	One-way analysis of means (not assuming equal variances)

data:  PW and Sp
F = 1268.3, num df = 2.000, denom df = 85.377, p-value <
2.2e-16

           Df Pillai approx F num Df den Df    Pr(>F)    
Sp          2 1.1872   52.949      8    290 < 2.2e-16 ***
Residuals 147                                            
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
[1] "goodbye Greg...leaving R"
[1] "hello Greg...welcome to R"
     SL  SW  PL  PW
41  5.0 3.5 1.3 0.3
42  4.5 2.3 1.3 0.3
43  4.4 3.2 1.3 0.2
44  5.0 3.5 1.6 0.6
45  5.1 3.8 1.9 0.4
46  4.8 3.0 1.4 0.3
47  5.1 3.8 1.6 0.2
48  4.6 3.2 1.4 0.2
49  5.3 3.7 1.5 0.2
50  5.0 3.3 1.4 0.2
51  7.0 3.2 4.7 1.4
52  6.4 3.2 4.5 1.5
53  6.9 3.1 4.9 1.5
54  5.5 2.3 4.0 1.3
55  6.5 2.8 4.6 1.5
56  5.7 2.8 4.5 1.3
57  6.3 3.3 4.7 1.6
58  4.9 2.4 3.3 1.0
59  6.6 2.9 4.6 1.3
60  5.2 2.7 3.9 1.4
61  5.0 2.0 3.5 1.0
62  5.9 3.0 4.2 1.5
63  6.0 2.2 4.0 1.0
64  6.1 2.9 4.7 1.4
65  5.6 2.9 3.6 1.3
66  6.7 3.1 4.4 1.4
67  5.6 3.0 4.5 1.5
68  5.8 2.7 4.1 1.0
69  6.2 2.2 4.5 1.5
70  5.6 2.5 3.9 1.1
71  5.9 3.2 4.8 1.8
72  6.1 2.8 4.0 1.3
73  6.3 2.5 4.9 1.5
74  6.1 2.8 4.7 1.2
75  6.4 2.9 4.3 1.3
76  6.6 3.0 4.4 1.4
77  6.8 2.8 4.8 1.4
78  6.7 3.0 5.0 1.7
79  6.0 2.9 4.5 1.5
80  5.7 2.6 3.5 1.0
81  5.5 2.4 3.8 1.1
82  5.5 2.4 3.7 1.0
83  5.8 2.7 3.9 1.2
84  6.0 2.7 5.1 1.6
85  5.4 3.0 4.5 1.5
86  6.0 3.4 4.5 1.6
87  6.7 3.1 4.7 1.5
88  6.3 2.3 4.4 1.3
89  5.6 3.0 4.1 1.3
90  5.5 2.5 4.0 1.3
91  5.5 2.6 4.4 1.2
92  6.1 3.0 4.6 1.4
93  5.8 2.6 4.0 1.2
94  5.0 2.3 3.3 1.0
95  5.6 2.7 4.2 1.3
96  5.7 3.0 4.2 1.2
97  5.7 2.9 4.2 1.3
98  6.2 2.9 4.3 1.3
99  5.1 2.5 3.0 1.1
100 5.7 2.8 4.1 1.3
101 6.3 3.3 6.0 2.5
102 5.8 2.7 5.1 1.9
103 7.1 3.0 5.9 2.1
104 6.3 2.9 5.6 1.8
105 6.5 3.0 5.8 2.2
106 7.6 3.0 6.6 2.1
107 4.9 2.5 4.5 1.7
108 7.3 2.9 6.3 1.8
109 6.7 2.5 5.8 1.8
110 7.2 3.6 6.1 2.5
111 6.5 3.2 5.1 2.0
112 6.4 2.7 5.3 1.9
113 6.8 3.0 5.5 2.1
114 5.7 2.5 5.0 2.0
115 5.8 2.8 5.1 2.4
116 6.4 3.2 5.3 2.3
117 6.5 3.0 5.5 1.8
118 7.7 3.8 6.7 2.2
119 7.7 2.6 6.9 2.3
120 6.0 2.2 5.0 1.5
121 6.9 3.2 5.7 2.3
122 5.6 2.8 4.9 2.0
123 7.7 2.8 6.7 2.0
124 6.3 2.7 4.9 1.8
125 6.7 3.3 5.7 2.1
126 7.2 3.2 6.0 1.8
127 6.2 2.8 4.8 1.8
128 6.1 3.0 4.9 1.8
129 6.4 2.8 5.6 2.1
130 7.2 3.0 5.8 1.6
131 7.4 2.8 6.1 1.9
132 7.9 3.8 6.4 2.0
133 6.4 2.8 5.6 2.2
134 6.3 2.8 5.1 1.5
135 6.1 2.6 5.6 1.4
136 7.7 3.0 6.1 2.3
137 6.3 3.4 5.6 2.4
138 6.4 3.1 5.5 1.8
139 6.0 3.0 4.8 1.8
140 6.9 3.1 5.4 2.1
141 6.7 3.1 5.6 2.4
142 6.9 3.1 5.1 2.3
143 5.8 2.7 5.1 1.9
144 6.8 3.2 5.9 2.3
145 6.7 3.3 5.7 2.5
146 6.7 3.0 5.2 2.3
147 6.3 2.5 5.0 1.9
148 6.5 3.0 5.2 2.0
149 6.2 3.4 5.4 2.3
150 5.9 3.0 5.1 1.8
    SL  SW  PL  PW         Sp
1  6.6 3.0 4.4 1.4 versicolor
2  5.8 2.7 3.9 1.2 versicolor
3  4.9 3.1 1.5 0.1     setosa
4  6.4 3.2 5.3 2.3  virginica
5  5.4 3.7 1.5 0.2     setosa
6  4.6 3.2 1.4 0.2     setosa
7  4.8 3.0 1.4 0.3     setosa
8  5.8 2.7 4.1 1.0 versicolor
9  4.4 3.0 1.3 0.2     setosa
10 6.8 3.0 5.5 2.1  virginica
11 4.5 2.3 1.3 0.3     setosa
12 6.8 3.2 5.9 2.3  virginica
13 5.6 2.5 3.9 1.1 versicolor
14 6.0 2.2 5.0 1.5  virginica
15 6.0 3.4 4.5 1.6 versicolor
16 5.1 3.8 1.5 0.3     setosa
17 5.5 2.6 4.4 1.2 versicolor
18 6.5 3.0 5.2 2.0  virginica
19 6.7 3.0 5.2 2.3  virginica
20 5.5 2.4 3.8 1.1 versicolor
21 5.1 3.5 1.4 0.3     setosa
22 5.8 2.8 5.1 2.4  virginica
23 6.3 3.3 6.0 2.5  virginica
24 4.8 3.4 1.6 0.2     setosa
25 6.4 2.8 5.6 2.1  virginica
26 5.0 3.6 1.4 0.2     setosa
27 5.2 2.7 3.9 1.4 versicolor
28 5.5 2.3 4.0 1.3 versicolor
29 6.0 2.9 4.5 1.5 versicolor
30 6.7 3.1 5.6 2.4  virginica
31 6.2 2.9 4.3 1.3 versicolor
32 6.4 3.2 4.5 1.5 versicolor
33 4.7 3.2 1.6 0.2     setosa
34 5.6 2.7 4.2 1.3 versicolor
35 5.9 3.0 5.1 1.8  virginica
36 6.4 2.8 5.6 2.2  virginica
37 5.1 2.5 3.0 1.1 versicolor
38 6.0 2.2 4.0 1.0 versicolor
39 6.1 2.9 4.7 1.4 versicolor
40 7.7 2.8 6.7 2.0  virginica
41 5.6 3.0 4.1 1.3 versicolor
42 4.7 3.2 1.3 0.2     setosa
43 6.4 2.7 5.3 1.9  virginica
44 4.3 3.0 1.1 0.1     setosa
45 5.0 3.4 1.6 0.4     setosa
46 6.4 2.9 4.3 1.3 versicolor
47 6.8 2.8 4.8 1.4 versicolor
48 6.5 3.2 5.1 2.0  virginica
49 7.7 3.8 6.7 2.2  virginica
50 6.9 3.1 5.4 2.1  virginica
Call:
mda(formula = Sp ~ SL + SW + PL + PW, data = mysample)

Dimension: 4 

Percent Between-Group Variance Explained:
    v1     v2     v3     v4 
 95.49  98.69  99.92 100.00 

Degrees of Freedom (per dimension): 5 

Training Misclassification Error: 0 ( N = 50 )

Deviance: 0.004 
  [1] setosa     setosa     setosa     setosa     setosa     setosa    
  [7] setosa     setosa     setosa     setosa     setosa     setosa    
 [13] setosa     setosa     setosa     setosa     setosa     setosa    
 [19] setosa     setosa     setosa     setosa     setosa     setosa    
 [25] setosa     setosa     setosa     setosa     setosa     setosa    
 [31] setosa     setosa     setosa     setosa     setosa     setosa    
 [37] setosa     setosa     setosa     setosa     setosa     setosa    
 [43] setosa     setosa     setosa     setosa     setosa     setosa    
 [49] setosa     setosa     versicolor versicolor versicolor versicolor
 [55] versicolor versicolor versicolor versicolor versicolor versicolor
 [61] versicolor versicolor versicolor versicolor versicolor versicolor
 [67] versicolor versicolor versicolor versicolor versicolor versicolor
 [73] virginica  versicolor versicolor versicolor versicolor versicolor
 [79] versicolor versicolor versicolor versicolor versicolor virginica 
 [85] versicolor versicolor versicolor versicolor versicolor versicolor
 [91] versicolor versicolor versicolor versicolor versicolor versicolor
 [97] versicolor versicolor versicolor versicolor virginica  virginica 
[103] virginica  virginica  virginica  virginica  versicolor virginica 
[109] virginica  virginica  virginica  virginica  virginica  virginica 
[115] virginica  virginica  virginica  virginica  virginica  virginica 
[121] virginica  virginica  virginica  virginica  virginica  virginica 
[127] virginica  virginica  virginica  virginica  virginica  virginica 
[133] virginica  versicolor virginica  virginica  virginica  virginica 
[139] virginica  virginica  virginica  virginica  virginica  virginica 
[145] virginica  virginica  virginica  virginica  virginica  virginica 
Levels: setosa versicolor virginica
                  Length Class   Mode   
percent.explained  4     -none-  numeric
values             8     -none-  numeric
means             36     -none-  numeric
theta.mod         32     -none-  numeric
dimension          1     -none-  numeric
sub.prior          3     -none-  list   
fit                5     polyreg list   
call               3     -none-  call   
weights            3     -none-  list   
prior              3     table   numeric
assign.theta       3     -none-  list   
deviance           1     -none-  numeric
confusion          9     table   numeric
terms              3     terms   call   
  [1] setosa     setosa     setosa     setosa     setosa     setosa    
  [7] setosa     setosa     setosa     setosa     setosa     setosa    
 [13] setosa     setosa     setosa     setosa     setosa     setosa    
 [19] setosa     setosa     setosa     setosa     setosa     setosa    
 [25] setosa     setosa     setosa     setosa     setosa     setosa    
 [31] setosa     setosa     setosa     setosa     setosa     setosa    
 [37] setosa     setosa     setosa     setosa     setosa     setosa    
 [43] setosa     setosa     setosa     setosa     setosa     setosa    
 [49] setosa     setosa     versicolor versicolor versicolor versicolor
 [55] versicolor versicolor versicolor versicolor versicolor versicolor
 [61] versicolor versicolor versicolor versicolor versicolor versicolor
 [67] versicolor versicolor versicolor versicolor virginica  versicolor
 [73] versicolor versicolor versicolor versicolor versicolor versicolor
 [79] versicolor versicolor versicolor versicolor versicolor versicolor
 [85] versicolor versicolor versicolor versicolor versicolor versicolor
 [91] versicolor versicolor versicolor versicolor versicolor versicolor
 [97] versicolor versicolor versicolor versicolor virginica  virginica 
[103] virginica  virginica  virginica  virginica  virginica  virginica 
[109] virginica  virginica  virginica  virginica  virginica  virginica 
[115] virginica  virginica  virginica  virginica  virginica  versicolor
[121] virginica  virginica  virginica  virginica  virginica  virginica 
[127] virginica  virginica  virginica  versicolor virginica  virginica 
[133] virginica  versicolor versicolor virginica  virginica  virginica 
[139] virginica  virginica  virginica  virginica  virginica  virginica 
[145] virginica  virginica  virginica  virginica  virginica  virginica 
Levels: setosa versicolor virginica
  [1] setosa     setosa     setosa     setosa     setosa     setosa    
  [7] setosa     setosa     setosa     setosa     setosa     setosa    
 [13] setosa     setosa     setosa     setosa     setosa     setosa    
 [19] setosa     setosa     setosa     setosa     setosa     setosa    
 [25] setosa     setosa     setosa     setosa     setosa     setosa    
 [31] setosa     setosa     setosa     setosa     setosa     setosa    
 [37] setosa     setosa     setosa     setosa     setosa     setosa    
 [43] setosa     setosa     setosa     setosa     setosa     setosa    
 [49] setosa     setosa     versicolor versicolor versicolor versicolor
 [55] versicolor versicolor versicolor versicolor versicolor versicolor
 [61] versicolor versicolor versicolor versicolor versicolor versicolor
 [67] versicolor versicolor versicolor versicolor versicolor versicolor
 [73] versicolor versicolor versicolor versicolor versicolor versicolor
 [79] versicolor versicolor versicolor versicolor versicolor versicolor
 [85] versicolor versicolor versicolor versicolor versicolor versicolor
 [91] versicolor versicolor versicolor versicolor versicolor versicolor
 [97] versicolor versicolor versicolor versicolor virginica  virginica 
[103] virginica  virginica  virginica  virginica  virginica  virginica 
[109] virginica  virginica  virginica  virginica  virginica  virginica 
[115] virginica  virginica  virginica  virginica  virginica  virginica 
[121] virginica  virginica  virginica  virginica  virginica  virginica 
[127] virginica  virginica  virginica  virginica  virginica  virginica 
[133] virginica  virginica  virginica  virginica  virginica  virginica 
[139] virginica  virginica  virginica  virginica  virginica  virginica 
[145] virginica  virginica  virginica  virginica  virginica  virginica 
Levels: setosa versicolor virginica
Confusion Matrix and Statistics

            Reference
Prediction   setosa versicolor virginica
  setosa         50          0         0
  versicolor      0         49         4
  virginica       0          1        46

Overall Statistics
                                          
               Accuracy : 0.9667          
                 95% CI : (0.9239, 0.9891)
    No Information Rate : 0.3333          
    P-Value [Acc > NIR] : < 2.2e-16       
                                          
                  Kappa : 0.95            
                                          
 Mcnemar's Test P-Value : NA              

Statistics by Class:

                     Class: setosa Class: versicolor Class: virginica
Sensitivity                 1.0000            0.9800           0.9200
Specificity                 1.0000            0.9600           0.9900
Pos Pred Value              1.0000            0.9245           0.9787
Neg Pred Value              1.0000            0.9897           0.9612
Prevalence                  0.3333            0.3333           0.3333
Detection Rate              0.3333            0.3267           0.3067
Detection Prevalence        0.3333            0.3533           0.3133
Balanced Accuracy           1.0000            0.9700           0.9550
NULL
[1] "goodbye Greg...leaving R"
[1] "hello Greg...welcome to R"
     SL  SW  PL  PW         Sp
1   5.1 3.5 1.4 0.2     setosa
2   4.9 3.0 1.4 0.2     setosa
3   4.7 3.2 1.3 0.2     setosa
4   4.6 3.1 1.5 0.2     setosa
5   5.0 3.6 1.4 0.2     setosa
6   5.4 3.9 1.7 0.4     setosa
7   4.6 3.4 1.4 0.3     setosa
8   5.0 3.4 1.5 0.2     setosa
9   4.4 2.9 1.4 0.2     setosa
10  4.9 3.1 1.5 0.1     setosa
11  5.4 3.7 1.5 0.2     setosa
12  4.8 3.4 1.6 0.2     setosa
13  4.8 3.0 1.4 0.1     setosa
14  4.3 3.0 1.1 0.1     setosa
15  5.8 4.0 1.2 0.2     setosa
16  5.7 4.4 1.5 0.4     setosa
17  5.4 3.9 1.3 0.4     setosa
18  5.1 3.5 1.4 0.3     setosa
19  5.7 3.8 1.7 0.3     setosa
20  5.1 3.8 1.5 0.3     setosa
21  5.4 3.4 1.7 0.2     setosa
22  5.1 3.7 1.5 0.4     setosa
23  4.6 3.6 1.0 0.2     setosa
24  5.1 3.3 1.7 0.5     setosa
25  4.8 3.4 1.9 0.2     setosa
26  5.0 3.0 1.6 0.2     setosa
27  5.0 3.4 1.6 0.4     setosa
28  5.2 3.5 1.5 0.2     setosa
29  5.2 3.4 1.4 0.2     setosa
30  4.7 3.2 1.6 0.2     setosa
31  4.8 3.1 1.6 0.2     setosa
32  5.4 3.4 1.5 0.4     setosa
33  5.2 4.1 1.5 0.1     setosa
34  5.5 4.2 1.4 0.2     setosa
35  4.9 3.1 1.5 0.1     setosa
36  5.0 3.2 1.2 0.2     setosa
37  5.5 3.5 1.3 0.2     setosa
38  4.9 3.1 1.5 0.1     setosa
39  4.4 3.0 1.3 0.2     setosa
40  5.1 3.4 1.5 0.2     setosa
41  5.0 3.5 1.3 0.3     setosa
42  4.5 2.3 1.3 0.3     setosa
43  4.4 3.2 1.3 0.2     setosa
44  5.0 3.5 1.6 0.6     setosa
45  5.1 3.8 1.9 0.4     setosa
46  4.8 3.0 1.4 0.3     setosa
47  5.1 3.8 1.6 0.2     setosa
48  4.6 3.2 1.4 0.2     setosa
49  5.3 3.7 1.5 0.2     setosa
50  5.0 3.3 1.4 0.2     setosa
51  7.0 3.2 4.7 1.4 versicolor
52  6.4 3.2 4.5 1.5 versicolor
53  6.9 3.1 4.9 1.5 versicolor
54  5.5 2.3 4.0 1.3 versicolor
55  6.5 2.8 4.6 1.5 versicolor
56  5.7 2.8 4.5 1.3 versicolor
57  6.3 3.3 4.7 1.6 versicolor
58  4.9 2.4 3.3 1.0 versicolor
59  6.6 2.9 4.6 1.3 versicolor
60  5.2 2.7 3.9 1.4 versicolor
61  5.0 2.0 3.5 1.0 versicolor
62  5.9 3.0 4.2 1.5 versicolor
63  6.0 2.2 4.0 1.0 versicolor
64  6.1 2.9 4.7 1.4 versicolor
65  5.6 2.9 3.6 1.3 versicolor
66  6.7 3.1 4.4 1.4 versicolor
67  5.6 3.0 4.5 1.5 versicolor
68  5.8 2.7 4.1 1.0 versicolor
69  6.2 2.2 4.5 1.5 versicolor
70  5.6 2.5 3.9 1.1 versicolor
71  5.9 3.2 4.8 1.8 versicolor
72  6.1 2.8 4.0 1.3 versicolor
73  6.3 2.5 4.9 1.5 versicolor
74  6.1 2.8 4.7 1.2 versicolor
75  6.4 2.9 4.3 1.3 versicolor
76  6.6 3.0 4.4 1.4 versicolor
77  6.8 2.8 4.8 1.4 versicolor
78  6.7 3.0 5.0 1.7 versicolor
79  6.0 2.9 4.5 1.5 versicolor
80  5.7 2.6 3.5 1.0 versicolor
81  5.5 2.4 3.8 1.1 versicolor
82  5.5 2.4 3.7 1.0 versicolor
83  5.8 2.7 3.9 1.2 versicolor
84  6.0 2.7 5.1 1.6 versicolor
85  5.4 3.0 4.5 1.5 versicolor
86  6.0 3.4 4.5 1.6 versicolor
87  6.7 3.1 4.7 1.5 versicolor
88  6.3 2.3 4.4 1.3 versicolor
89  5.6 3.0 4.1 1.3 versicolor
90  5.5 2.5 4.0 1.3 versicolor
91  5.5 2.6 4.4 1.2 versicolor
92  6.1 3.0 4.6 1.4 versicolor
93  5.8 2.6 4.0 1.2 versicolor
94  5.0 2.3 3.3 1.0 versicolor
95  5.6 2.7 4.2 1.3 versicolor
96  5.7 3.0 4.2 1.2 versicolor
97  5.7 2.9 4.2 1.3 versicolor
98  6.2 2.9 4.3 1.3 versicolor
99  5.1 2.5 3.0 1.1 versicolor
100 5.7 2.8 4.1 1.3 versicolor
101 6.3 3.3 6.0 2.5  virginica
102 5.8 2.7 5.1 1.9  virginica
103 7.1 3.0 5.9 2.1  virginica
104 6.3 2.9 5.6 1.8  virginica
105 6.5 3.0 5.8 2.2  virginica
106 7.6 3.0 6.6 2.1  virginica
107 4.9 2.5 4.5 1.7  virginica
108 7.3 2.9 6.3 1.8  virginica
109 6.7 2.5 5.8 1.8  virginica
110 7.2 3.6 6.1 2.5  virginica
111 6.5 3.2 5.1 2.0  virginica
112 6.4 2.7 5.3 1.9  virginica
113 6.8 3.0 5.5 2.1  virginica
114 5.7 2.5 5.0 2.0  virginica
115 5.8 2.8 5.1 2.4  virginica
116 6.4 3.2 5.3 2.3  virginica
117 6.5 3.0 5.5 1.8  virginica
118 7.7 3.8 6.7 2.2  virginica
119 7.7 2.6 6.9 2.3  virginica
120 6.0 2.2 5.0 1.5  virginica
121 6.9 3.2 5.7 2.3  virginica
122 5.6 2.8 4.9 2.0  virginica
123 7.7 2.8 6.7 2.0  virginica
124 6.3 2.7 4.9 1.8  virginica
125 6.7 3.3 5.7 2.1  virginica
126 7.2 3.2 6.0 1.8  virginica
127 6.2 2.8 4.8 1.8  virginica
128 6.1 3.0 4.9 1.8  virginica
129 6.4 2.8 5.6 2.1  virginica
130 7.2 3.0 5.8 1.6  virginica
131 7.4 2.8 6.1 1.9  virginica
132 7.9 3.8 6.4 2.0  virginica
133 6.4 2.8 5.6 2.2  virginica
134 6.3 2.8 5.1 1.5  virginica
135 6.1 2.6 5.6 1.4  virginica
136 7.7 3.0 6.1 2.3  virginica
137 6.3 3.4 5.6 2.4  virginica
138 6.4 3.1 5.5 1.8  virginica
139 6.0 3.0 4.8 1.8  virginica
140 6.9 3.1 5.4 2.1  virginica
141 6.7 3.1 5.6 2.4  virginica
142 6.9 3.1 5.1 2.3  virginica
143 5.8 2.7 5.1 1.9  virginica
144 6.8 3.2 5.9 2.3  virginica
145 6.7 3.3 5.7 2.5  virginica
146 6.7 3.0 5.2 2.3  virginica
147 6.3 2.5 5.0 1.9  virginica
148 6.5 3.0 5.2 2.0  virginica
149 6.2 3.4 5.4 2.3  virginica
150 5.9 3.0 5.1 1.8  virginica
        SL  SW  PL  PW
  [1,] 5.1 3.5 1.4 0.2
  [2,] 4.9 3.0 1.4 0.2
  [3,] 4.7 3.2 1.3 0.2
  [4,] 4.6 3.1 1.5 0.2
  [5,] 5.0 3.6 1.4 0.2
  [6,] 5.4 3.9 1.7 0.4
  [7,] 4.6 3.4 1.4 0.3
  [8,] 5.0 3.4 1.5 0.2
  [9,] 4.4 2.9 1.4 0.2
 [10,] 4.9 3.1 1.5 0.1
 [11,] 5.4 3.7 1.5 0.2
 [12,] 4.8 3.4 1.6 0.2
 [13,] 4.8 3.0 1.4 0.1
 [14,] 4.3 3.0 1.1 0.1
 [15,] 5.8 4.0 1.2 0.2
 [16,] 5.7 4.4 1.5 0.4
 [17,] 5.4 3.9 1.3 0.4
 [18,] 5.1 3.5 1.4 0.3
 [19,] 5.7 3.8 1.7 0.3
 [20,] 5.1 3.8 1.5 0.3
 [21,] 5.4 3.4 1.7 0.2
 [22,] 5.1 3.7 1.5 0.4
 [23,] 4.6 3.6 1.0 0.2
 [24,] 5.1 3.3 1.7 0.5
 [25,] 4.8 3.4 1.9 0.2
 [26,] 5.0 3.0 1.6 0.2
 [27,] 5.0 3.4 1.6 0.4
 [28,] 5.2 3.5 1.5 0.2
 [29,] 5.2 3.4 1.4 0.2
 [30,] 4.7 3.2 1.6 0.2
 [31,] 4.8 3.1 1.6 0.2
 [32,] 5.4 3.4 1.5 0.4
 [33,] 5.2 4.1 1.5 0.1
 [34,] 5.5 4.2 1.4 0.2
 [35,] 4.9 3.1 1.5 0.1
 [36,] 5.0 3.2 1.2 0.2
 [37,] 5.5 3.5 1.3 0.2
 [38,] 4.9 3.1 1.5 0.1
 [39,] 4.4 3.0 1.3 0.2
 [40,] 5.1 3.4 1.5 0.2
 [41,] 5.0 3.5 1.3 0.3
 [42,] 4.5 2.3 1.3 0.3
 [43,] 4.4 3.2 1.3 0.2
 [44,] 5.0 3.5 1.6 0.6
 [45,] 5.1 3.8 1.9 0.4
 [46,] 4.8 3.0 1.4 0.3
 [47,] 5.1 3.8 1.6 0.2
 [48,] 4.6 3.2 1.4 0.2
 [49,] 5.3 3.7 1.5 0.2
 [50,] 5.0 3.3 1.4 0.2
 [51,] 7.0 3.2 4.7 1.4
 [52,] 6.4 3.2 4.5 1.5
 [53,] 6.9 3.1 4.9 1.5
 [54,] 5.5 2.3 4.0 1.3
 [55,] 6.5 2.8 4.6 1.5
 [56,] 5.7 2.8 4.5 1.3
 [57,] 6.3 3.3 4.7 1.6
 [58,] 4.9 2.4 3.3 1.0
 [59,] 6.6 2.9 4.6 1.3
 [60,] 5.2 2.7 3.9 1.4
 [61,] 5.0 2.0 3.5 1.0
 [62,] 5.9 3.0 4.2 1.5
 [63,] 6.0 2.2 4.0 1.0
 [64,] 6.1 2.9 4.7 1.4
 [65,] 5.6 2.9 3.6 1.3
 [66,] 6.7 3.1 4.4 1.4
 [67,] 5.6 3.0 4.5 1.5
 [68,] 5.8 2.7 4.1 1.0
 [69,] 6.2 2.2 4.5 1.5
 [70,] 5.6 2.5 3.9 1.1
 [71,] 5.9 3.2 4.8 1.8
 [72,] 6.1 2.8 4.0 1.3
 [73,] 6.3 2.5 4.9 1.5
 [74,] 6.1 2.8 4.7 1.2
 [75,] 6.4 2.9 4.3 1.3
 [76,] 6.6 3.0 4.4 1.4
 [77,] 6.8 2.8 4.8 1.4
 [78,] 6.7 3.0 5.0 1.7
 [79,] 6.0 2.9 4.5 1.5
 [80,] 5.7 2.6 3.5 1.0
 [81,] 5.5 2.4 3.8 1.1
 [82,] 5.5 2.4 3.7 1.0
 [83,] 5.8 2.7 3.9 1.2
 [84,] 6.0 2.7 5.1 1.6
 [85,] 5.4 3.0 4.5 1.5
 [86,] 6.0 3.4 4.5 1.6
 [87,] 6.7 3.1 4.7 1.5
 [88,] 6.3 2.3 4.4 1.3
 [89,] 5.6 3.0 4.1 1.3
 [90,] 5.5 2.5 4.0 1.3
 [91,] 5.5 2.6 4.4 1.2
 [92,] 6.1 3.0 4.6 1.4
 [93,] 5.8 2.6 4.0 1.2
 [94,] 5.0 2.3 3.3 1.0
 [95,] 5.6 2.7 4.2 1.3
 [96,] 5.7 3.0 4.2 1.2
 [97,] 5.7 2.9 4.2 1.3
 [98,] 6.2 2.9 4.3 1.3
 [99,] 5.1 2.5 3.0 1.1
[100,] 5.7 2.8 4.1 1.3
[101,] 6.3 3.3 6.0 2.5
[102,] 5.8 2.7 5.1 1.9
[103,] 7.1 3.0 5.9 2.1
[104,] 6.3 2.9 5.6 1.8
[105,] 6.5 3.0 5.8 2.2
[106,] 7.6 3.0 6.6 2.1
[107,] 4.9 2.5 4.5 1.7
[108,] 7.3 2.9 6.3 1.8
[109,] 6.7 2.5 5.8 1.8
[110,] 7.2 3.6 6.1 2.5
[111,] 6.5 3.2 5.1 2.0
[112,] 6.4 2.7 5.3 1.9
[113,] 6.8 3.0 5.5 2.1
[114,] 5.7 2.5 5.0 2.0
[115,] 5.8 2.8 5.1 2.4
[116,] 6.4 3.2 5.3 2.3
[117,] 6.5 3.0 5.5 1.8
[118,] 7.7 3.8 6.7 2.2
[119,] 7.7 2.6 6.9 2.3
[120,] 6.0 2.2 5.0 1.5
[121,] 6.9 3.2 5.7 2.3
[122,] 5.6 2.8 4.9 2.0
[123,] 7.7 2.8 6.7 2.0
[124,] 6.3 2.7 4.9 1.8
[125,] 6.7 3.3 5.7 2.1
[126,] 7.2 3.2 6.0 1.8
[127,] 6.2 2.8 4.8 1.8
[128,] 6.1 3.0 4.9 1.8
[129,] 6.4 2.8 5.6 2.1
[130,] 7.2 3.0 5.8 1.6
[131,] 7.4 2.8 6.1 1.9
[132,] 7.9 3.8 6.4 2.0
[133,] 6.4 2.8 5.6 2.2
