             Df Sum Sq Mean Sq F value Pr(>F)    
SL            1  352.5   352.5 5170.31 <2e-16 ***
Sp            2   99.7    49.8  731.00 <2e-16 ***
SL:Sp         2    1.8     0.9   13.57  4e-06 ***
Residuals   144    9.8     0.1                   
---
Signif. codes:  0 ‘***’ 0.001 ‘**’ 0.01 ‘*’ 0.05 ‘.’ 0.1 ‘ ’ 1
[1] "goodbye Greg...leaving R"
140 6.9 3.1 5.4 2.1
141 6.7 3.1 5.6 2.4
142 6.9 3.1 5.1 2.3
143 5.8 2.7 5.1 1.9
144 6.8 3.2 5.9 2.3
145 6.7 3.3 5.7 2.5
146 6.7 3.0 5.2 2.3
147 6.3 2.5 5.0 1.9
148 6.5 3.0 5.2 2.0
149 6.2 3.4 5.4 2.3
150 5.9 3.0 5.1 1.8
  [1] 2.550 2.375 2.350 2.350 2.550 2.850 2.425 2.525 2.225 2.400 2.700
 [12] 2.500 2.325 2.125 2.800 3.000 2.750 2.575 2.875 2.675 2.675 2.675
 [23] 2.350 2.650 2.575 2.450 2.600 2.600 2.550 2.425 2.425 2.675 2.725
 [34] 2.825 2.400 2.400 2.625 2.400 2.225 2.550 2.525 2.100 2.275 2.675
 [45] 2.800 2.375 2.675 2.350 2.675 2.475 4.075 3.900 4.100 3.275 3.850
 [56] 3.575 3.975 2.900 3.850 3.300 2.875 3.650 3.300 3.775 3.350 3.900
 [67] 3.650 3.400 3.600 3.275 3.925 3.550 3.800 3.700 3.725 3.850 3.950
 [78] 4.100 3.725 3.200 3.200 3.150 3.400 3.850 3.600 3.875 4.000 3.575
 [89] 3.500 3.325 3.425 3.775 3.400 2.900 3.450 3.525 3.525 3.675 2.925
[100] 3.475 4.525 3.875 4.525 4.150 4.375 4.825 3.400 4.575 4.200 4.850
[111] 4.200 4.075 4.350 3.800 4.025 4.300 4.200 5.100 4.875 3.675 4.525
[122] 3.825 4.800 3.925 4.450 4.550 3.900 3.950 4.225 4.400 4.550 5.025
[133] 4.250 3.925 3.925 4.775 4.425 4.200 3.900 4.375 4.450 4.350 3.875
[144] 4.550 4.550 4.300 3.925 4.175 4.325 3.950
number of iterations= 21 
$x
  [1] 2.550 2.375 2.350 2.350 2.550 2.850 2.425 2.525 2.225 2.400 2.700
 [12] 2.500 2.325 2.125 2.800 3.000 2.750 2.575 2.875 2.675 2.675 2.675
 [23] 2.350 2.650 2.575 2.450 2.600 2.600 2.550 2.425 2.425 2.675 2.725
 [34] 2.825 2.400 2.400 2.625 2.400 2.225 2.550 2.525 2.100 2.275 2.675
 [45] 2.800 2.375 2.675 2.350 2.675 2.475 4.075 3.900 4.100 3.275 3.850
 [56] 3.575 3.975 2.900 3.850 3.300 2.875 3.650 3.300 3.775 3.350 3.900
 [67] 3.650 3.400 3.600 3.275 3.925 3.550 3.800 3.700 3.725 3.850 3.950
 [78] 4.100 3.725 3.200 3.200 3.150 3.400 3.850 3.600 3.875 4.000 3.575
 [89] 3.500 3.325 3.425 3.775 3.400 2.900 3.450 3.525 3.525 3.675 2.925
[100] 3.475 4.525 3.875 4.525 4.150 4.375 4.825 3.400 4.575 4.200 4.850
[111] 4.200 4.075 4.350 3.800 4.025 4.300 4.200 5.100 4.875 3.675 4.525
[122] 3.825 4.800 3.925 4.450 4.550 3.900 3.950 4.225 4.400 4.550 5.025
[133] 4.250 3.925 3.925 4.775 4.425 4.200 3.900 4.375 4.450 4.350 3.875
[144] 4.550 4.550 4.300 3.925 4.175 4.325 3.950

$lambda
[1] 0.3374468 0.6625532

$mu
[1] 2.542908 3.932622

$sigma
[1] 0.2031784 0.4941430

$loglik
[1] -148.2852

$posterior
             comp.1      comp.2
  [1,] 9.841389e-01 0.015861138
  [2,] 9.921601e-01 0.007839917
  [3,] 9.925507e-01 0.007449301
  [4,] 9.925507e-01 0.007449301
  [5,] 9.841389e-01 0.015861138
  [6,] 8.133398e-01 0.186660233
  [7,] 9.909859e-01 0.009014085
  [8,] 9.861764e-01 0.013823584
  [9,] 9.930426e-01 0.006957448
 [10,] 9.916456e-01 0.008354427
 [11,] 9.537493e-01 0.046250743
 [12,] 9.878048e-01 0.012195198
 [13,] 9.928330e-01 0.007166973
 [14,] 9.917524e-01 0.008247555
 [15,] 8.849674e-01 0.115032615
 [16,] 3.692355e-01 0.630764525
 [17,] 9.281418e-01 0.071858194
 [18,] 9.815804e-01 0.018419564
 [19,] 7.629191e-01 0.237080949
 [20,] 9.623617e-01 0.037638256
 [21,] 9.623617e-01 0.037638256
 [22,] 9.623617e-01 0.037638256
 [23,] 9.925507e-01 0.007449301
 [24,] 9.690468e-01 0.030953238
 [25,] 9.815804e-01 0.018419564
 [26,] 9.901528e-01 0.009847228
 [27,] 9.783535e-01 0.021646530
 [28,] 9.783535e-01 0.021646530
 [29,] 9.841389e-01 0.015861138
 [30,] 9.909859e-01 0.009014085
 [31,] 9.909859e-01 0.009014085
 [32,] 9.623617e-01 0.037638256
 [33,] 9.426054e-01 0.057394642
 [34,] 8.535084e-01 0.146491615
 [35,] 9.916456e-01 0.008354427
 [36,] 9.916456e-01 0.008354427
 [37,] 9.742622e-01 0.025737775
 [38,] 9.916456e-01 0.008354427
 [39,] 9.930426e-01 0.006957448
 [40,] 9.841389e-01 0.015861138
 [41,] 9.861764e-01 0.013823584
 [42,] 9.911219e-01 0.008878057
 [43,] 9.931128e-01 0.006887193
 [44,] 9.623617e-01 0.037638256
 [45,] 8.849674e-01 0.115032615
 [46,] 9.921601e-01 0.007839917
 [47,] 9.623617e-01 0.037638256
 [48,] 9.925507e-01 0.007449301
 [49,] 9.623617e-01 0.037638256
 [50,] 9.891088e-01 0.010891232
 [51,] 5.804607e-13 1.000000000
 [52,] 2.548403e-10 1.000000000
 [53,] 2.314297e-13 1.000000000
 [54,] 4.532607e-03 0.995467393
 [55,] 1.294478e-09 0.999999999
 [56,] 4.013219e-06 0.999995987
 [57,] 2.025590e-11 1.000000000
 [58,] 7.012089e-01 0.298791069
 [59,] 1.294478e-09 0.999999999
 [60,] 2.707848e-03 0.997292152
 [61,] 7.629191e-01 0.237080949
 [62,] 5.210235e-07 0.999999479
 [63,] 2.707848e-03 0.997292152
 [64,] 1.348521e-08 0.999999987
 [65,] 9.289003e-04 0.999071100
 [66,] 2.548403e-10 1.000000000
 [67,] 5.210235e-07 0.999999479
 [68,] 3.026619e-04 0.999697338
 [69,] 2.057840e-06 0.999997942
 [70,] 4.532607e-03 0.995467393
 [71,] 1.109582e-10 1.000000000
 [72,] 7.728760e-06 0.999992271
 [73,] 6.252689e-09 0.999999994
 [74,] 1.254435e-07 0.999999875
 [75,] 6.040157e-08 0.999999940
 [76,] 1.294478e-09 0.999999999
 [77,] 4.770758e-11 1.000000000
 [78,] 2.314297e-13 1.000000000
 [79,] 6.040157e-08 0.999999940
 [80,] 1.952247e-02 0.980477528
 [81,] 1.952247e-02 0.980477528
 [82,] 4.761835e-02 0.952381645
 [83,] 3.026619e-04 0.999697338
 [84,] 1.294478e-09 0.999999999
 [85,] 2.057840e-06 0.999997942
 [86,] 5.779805e-10 0.999999999
 [87,] 8.492827e-12 1.000000000
 [88,] 4.013219e-06 0.999995987
 [89,] 2.760244e-05 0.999972398
 [90,] 1.596339e-03 0.998403661
 [91,] 1.695035e-04 0.999830497
 [92,] 1.348521e-08 0.999999987
 [93,] 3.026619e-04 0.999697338
 [94,] 7.012089e-01 0.298791069
 [95,] 9.373695e-05 0.999906263
 [96,] 1.469812e-05 0.999985302
 [97,] 1.469812e-05 0.999985302
 [98,] 2.572673e-07 0.999999743
 [99,] 6.282676e-01 0.371732385
[100,] 5.118764e-05 0.999948812
[101,] 5.488834e-21 1.000000000
[102,] 5.779805e-10 0.999999999
[103,] 5.488834e-21 1.000000000
[104,] 3.542592e-14 1.000000000
[105,] 4.082565e-18 1.000000000
[106,] 2.549810e-27 1.000000000
[107,] 3.026619e-04 0.999697338
[108,] 5.477980e-22 1.000000000
[109,] 5.156664e-15 1.000000000
[110,] 6.970227e-28 1.000000000
[111,] 5.156664e-15 1.000000000
[112,] 5.804607e-13 1.000000000
[113,] 1.175942e-17 1.000000000
[114,] 6.252689e-09 0.999999994
[115,] 3.516328e-12 1.000000000
[116,] 9.395098e-17 1.000000000
[117,] 5.156664e-15 1.000000000
[118,] 8.130942e-34 1.000000000
[119,] 1.881579e-28 1.000000000
[120,] 2.572673e-07 0.999999743
[121,] 5.488834e-21 1.000000000
[122,] 2.862942e-09 0.999999997
[123,] 9.210967e-27 1.000000000
[124,] 1.109582e-10 1.000000000
[125,] 1.584137e-19 1.000000000
[126,] 1.744946e-21 1.000000000
[127,] 2.548403e-10 1.000000000
[128,] 4.770758e-11 1.000000000
[129,] 1.930622e-15 1.000000000
[130,] 1.399641e-18 1.000000000
[131,] 1.744946e-21 1.000000000
[132,] 5.590366e-32 1.000000000
[133,] 7.137765e-16 1.000000000
[134,] 1.109582e-10 1.000000000
[135,] 1.109582e-10 1.000000000
[136,] 3.285784e-26 1.000000000
[137,] 4.738451e-19 1.000000000
[138,] 5.156664e-15 1.000000000
[139,] 2.548403e-10 1.000000000
[140,] 4.082565e-18 1.000000000
[141,] 1.584137e-19 1.000000000
[142,] 1.175942e-17 1.000000000
[143,] 5.779805e-10 0.999999999
[144,] 1.744946e-21 1.000000000
[145,] 1.744946e-21 1.000000000
[146,] 9.395098e-17 1.000000000
[147,] 1.109582e-10 1.000000000
[148,] 1.360119e-14 1.000000000
[149,] 3.344841e-17 1.000000000
[150,] 4.770758e-11 1.000000000

$all.loglik
 [1] -231.4482 -168.8280 -162.6749 -157.5589 -153.7609 -150.6205
 [7] -148.8618 -148.4072 -148.3151 -148.2932 -148.2874 -148.2859
[13] -148.2854 -148.2853 -148.2853 -148.2852 -148.2852 -148.2852
[19] -148.2852 -148.2852 -148.2852 -148.2852

$restarts
[1] 0

$ft
[1] "normalmixEM"

attr(,"class")
[1] "mixEM"
[1] "BIC for GMM"
[1] 316.613
