sepal_length	sepal_width	petal_length	petal_width	species
6.617545127	3.417443249	5.503134248	1.805593714	versicolor
5.900924206	2.987872213	3.64742548	1.337005872	versicolor
6.778405536	3.558910922	5.226823798	1.521714508	versicolor
5.608610538	3.779078259	4.81768422	1.74748395	versicolor
6.322694049	3.016282472	4.939737369	1.077873222	versicolor
6.854245004	3.129517276	4.524797888	2.254094102	versicolor
6.445948438	3.085455034	4.616223372	1.990779094	versicolor
6.873083137	4.017310318	5.08682328	2.681839383	versicolor
6.819693924	3.09465936	4.365644937	1.977661951	versicolor
6.770308804	3.37796118	5.439159308	2.343751812	versicolor
7.094239439	3.521112565	5.261353414	1.857009989	versicolor
6.844094075	3.174997498	5.015750899	1.382643179	versicolor
7.479030091	3.809302548	4.964016745	2.19411829	versicolor
7.055140268	3.19754452	4.824871837	1.461459937	versicolor
6.944642424	3.597172089	5.788707366	2.322915596	versicolor
6.568515899	3.216799277	5.216555335	2.213270328	versicolor
5.943301379	3.567612099	3.948145063	1.541109721	versicolor
5.794589845	3.234411582	4.308922405	1.210716212	versicolor
5.817315855	2.977666451	3.966232332	1.541943488	versicolor
6.712229217	3.004962041	3.966020444	1.853687855	versicolor
6.950775172	2.817698369	5.458265751	2.540783301	versicolor
5.518781499	3.106742552	4.970966748	2.23739447	versicolor
6.323769531	3.765111758	4.69220358	1.689479107	versicolor
7.234468813	3.476540288	5.656687605	1.613778907	versicolor
6.409041973	2.849221043	4.51165894	1.731327085	versicolor
6.230491955	3.029950774	4.501263147	1.563964541	versicolor
6.307671988	2.858632999	4.04833229	2.281812675	versicolor
6.457546276	3.272414023	5.182155226	1.734711397	versicolor
6.768434205	3.109229715	4.921932621	2.166851164	versicolor
6.361892799	3.538258382	4.948970355	1.514126315	versicolor
5.534578253	2.388994266	3.332569961	1.460079817	versicolor
6.170729174	3.430971143	4.655413409	1.783121817	versicolor
6.530051695	3.118465186	5.034950452	1.552456727	versicolor
5.924450372	3.794122089	4.531454364	1.758046744	versicolor
7.005620246	3.216773306	4.495939903	2.119230363	versicolor
5.563731555	2.548604921	3.85795183	2.056890688	versicolor
6.631212714	3.255279964	4.275002662	1.426874675	versicolor
6.661339511	3.93559153	6.572315269	3.346133113	virginica
5.824485774	2.754328795	6.025072494	2.330539342	virginica
7.399812285	3.361813014	6.475132546	2.419511383	virginica
6.562879468	3.628949522	5.68870783	1.834126466	virginica
6.712263179	3.679344484	5.976658492	2.904801469	virginica
8.26206943	3.731572778	7.314006248	2.103579499	virginica
4.902958262	3.326804886	4.892368796	1.768804601	virginica
8.207729532	3.30986356	6.970883645	2.284428472	virginica
7.456680908	3.275669728	6.196886106	2.547142605	virginica
7.459246796	4.099224372	6.418829459	2.879559729	virginica
6.671615325	3.629753074	5.203917239	2.583542646	virginica
7.278223317	3.287433287	6.228101017	2.366379506	virginica
7.362772916	3.320897112	5.808420631	3.097525363	virginica
5.777384935	2.541634248	5.11051425	2.826204217	virginica
6.67834739	3.207143953	5.92278341	2.679227788	virginica
6.520493678	3.476320532	6.284934456	3.123014781	virginica
6.830681591	3.233284672	5.550961679	2.178967907	virginica
8.191395685	3.964279636	7.667628658	3.125048189	virginica
8.565077441	3.152434237	7.685787094	3.196498595	virginica
6.261517565	2.236839966	5.878112581	1.586214132	virginica
7.544254161	3.525701578	5.976847816	2.896366188	virginica
6.329729853	3.400977129	5.028065109	2.186334408	virginica
8.293793442	3.379772231	7.099330278	2.736669033	virginica
6.782592651	3.417779813	5.795930942	2.686693446	virginica
7.468292593	3.393074132	6.51822043	2.254103483	virginica
7.818203277	3.759187866	6.238291488	2.079803995	virginica
7.083025083	3.354945832	5.449538402	1.851390426	virginica
6.260360757	3.033467262	5.149713718	1.971418487	virginica
7.079856391	2.893965967	6.596579481	3.087467219	virginica
7.34820712	3.661217352	6.719416569	2.041564342	virginica
7.784464666	2.899929464	6.695519604	2.068576486	virginica
8.338749571	4.588016781	6.93666437	2.630476356	virginica
6.636478725	3.288973611	6.094900343	2.663407858	virginica
6.950378396	3.521776747	5.62830752	2.468770309	virginica
6.833928024	3.508651109	6.32127173	1.933997579	virginica
8.353723018	3.609517833	7.026538411	2.461472319	virginica
6.612189058	3.404866573	5.920071829	2.447903605	virginica
7.344852226	3.79149134	6.485350326	2.546500818	virginica
6.954345676	3.391958603	5.333819976	1.814791637	virginica
7.779286874	3.958746555	5.939496869	2.534925907	virginica
7.019233957	3.536835815	6.180635062	2.482521049	virginica
7.559030828	3.850494227	5.740754496	2.65300744	virginica
6.771112151	3.231800877	5.847738013	2.673628692	virginica
7.308415818	3.999989431	6.723335872	3.102056592	virginica
7.022302974	4.242349746	6.15998302	3.275294328	virginica
7.485415388	3.770655604	5.640401414	2.46070686	virginica
7.081659615	3.026893737	5.393983778	2.52937735	virginica
7.480969015	3.635988982	5.730516393	2.431469421	virginica
6.779088707	4.151602071	5.421453666	3.284071362	virginica
6.607478816	3.023754707	5.584818859	1.881552037	virginica
