sepal_length	sepal_width	petal_length	petal_width	species
5.740623842	2.915061543	4.243501862	1.363037246	versicolor
6.212361627	2.954392799	4.395019071	1.339541704	versicolor
5.145480506	2.519722417	3.026939006	1.175596276	versicolor
5.725880277	2.893806569	4.176310846	1.369022592	versicolor
6.369660358	3.387747172	6.040778399	2.524203352	virginica
5.891492878	2.752071607	5.176589819	1.940023329	virginica
7.144740095	3.065894686	5.97004804	2.152962443	virginica
6.353878092	2.918978634	5.622843875	1.826991164	virginica
6.516183215	3.05511286	5.822861051	2.277104952	virginica
7.687074883	3.064748328	6.689118882	2.104398448	virginica
4.931296139	2.542119406	4.543279874	1.701676102	virginica
7.396784104	2.902592204	6.316827386	1.887443253	virginica
6.7744332	2.541824492	5.808593492	1.814536344	virginica
7.256784968	3.605906601	6.11569573	2.566664073	virginica
6.525441925	3.287265152	5.118527029	2.055614427	virginica
6.412692168	2.782970588	5.354196664	1.939231696	virginica
6.874357501	3.038362503	5.550249263	2.107282504	virginica
5.741385014	2.577086049	5.018488615	2.083484956	virginica
5.838895526	2.899105278	5.184050853	2.483113364	virginica
6.441382513	3.237132278	5.365225175	2.312813853	virginica
6.510038243	3.065544596	5.529297698	1.879535371	virginica
7.782117682	3.828339779	6.77400373	2.249469683	virginica
7.75856502	2.633201023	6.95786624	2.31937534	virginica
6.065313814	2.22595375	5.039124769	1.564678768	virginica
6.911854252	3.265107023	5.705047439	2.336200326	virginica
5.61355997	2.826663997	4.992643451	2.053693063	virginica
7.757232132	2.879368247	6.75288933	2.008788041	virginica
6.35267283	2.791745266	4.903813522	1.800659566	virginica
6.700256057	3.385376459	5.738229617	2.171248682	virginica
7.239109343	3.265292996	6.001234841	1.803666423	virginica
6.204072405	2.841691961	4.835528798	1.841941251	virginica
6.125645623	3.039283116	4.957234311	1.807723495	virginica
6.402969036	2.823474562	5.69171324	2.147275586	virginica
7.292463432	3.04947651	5.856615652	1.606584617	virginica
7.498717335	2.823069481	6.135060853	1.936783732	virginica
7.918852487	3.849846432	6.419028186	2.023991678	virginica
6.466085878	2.897374993	5.67846115	2.203653701	virginica
6.354730323	2.873260119	5.141328128	1.544802736	virginica
6.113034838	2.673477886	5.65954086	1.49138018	virginica
7.716365322	3.077795748	6.174036313	2.377677749	virginica
6.383189937	3.442677708	5.644848578	2.471421552	virginica
6.451602659	3.144107156	5.567073461	1.890513516	virginica
6.072611365	3.089786443	4.804244171	1.891435137	virginica
6.938752778	3.193489219	5.47258644	2.193286306	virginica
6.73202605	3.185832763	5.610577104	2.445671485	virginica
6.92184236	3.153409554	5.12961128	2.325907751	virginica
5.81821646	2.793142914	5.121716828	1.989134496	virginica
6.81589158	3.205018967	5.988976649	2.302129029	virginica
6.792355019	3.336573162	5.718494108	2.527388522	virginica
6.702651963	3.057923508	5.2948222	2.393570232	virginica
6.304243113	2.579033719	5.059779186	1.945882556	virginica
6.550409426	3.043817199	5.246304346	2.051239099	virginica
6.234848859	3.420586429	5.462914402	2.3662995	virginica
5.956280687	3.003883627	5.14843195	1.895393204	virginica
